Player,Club,Season,Goals,Assists,Combined
Lys Mousset,AFC Bournemouth,2017,2,0,2
Diafra Sakho,West Ham United,2017,2,0,2
Ahmed Hegazy,West Bromwich Albion,2017,2,0,2
Momo Diamé,Newcastle United,2017,2,0,2
Jack Stephens,Southampton FC,2017,2,0,2
Ramadan Sobhi,Stoke City,2017,2,0,2
Maya Yoshida,Southampton FC,2017,2,0,2
Wilfried Bony,Swansea City,2017,2,0,2
Christian Kabasele,Watford FC,2017,2,0,2
Dominic Solanke,Liverpool FC,2017,1,1,2
Jacob Murphy,Newcastle United,2017,1,1,2
Trent Alexander-Arnold,Liverpool FC,2017,1,1,2
Mikel Merino,Newcastle United,2017,1,1,2
Stefano Okaka,Watford FC,2017,1,1,2
Alex Pritchard,Huddersfield Town,2017,1,1,2
Ryan Shawcross,Stoke City,2017,1,1,2
Moussa Sissoko,Tottenham Hotspur,2017,1,1,2
Islam Slimani,Newcastle United,2017,1,1,2
Stephen Ward,Burnley FC,2017,1,1,2
Davide Zappacosta,Chelsea FC,2017,1,1,2
Solomon March,Brighton & Hove Albion,2017,1,1,2
Kiko Femenía,Watford FC,2017,1,1,2
Vincent Kompany,Manchester City,2017,1,1,2
Mario Lemina,Southampton FC,2017,1,1,2
Gareth Barry,West Bromwich Albion,2017,1,1,2
"N'Golo Kanté",Chelsea FC,2017,1,1,2
Jesé,Stoke City,2017,1,1,2
Elias Kachunga,Huddersfield Town,2017,1,1,2
Jordan Henderson,Liverpool FC,2017,1,1,2
Lewis Dunk,Brighton & Hove Albion,2017,1,1,2
Jürgen Locadia,Brighton & Hove Albion,2017,1,1,2
Federico Fernández,Swansea City,2017,1,1,2
Nemanja Mati?,Manchester United,2017,1,1,2
Steven Defour,Burnley FC,2017,1,1,2
Leroy Fer,Swansea City,2017,1,1,2
Darren Fletcher,Stoke City,2017,1,1,2
Yaya Touré,Manchester City,2017,0,2,2
Ben Chilwell,Leicester City,2017,0,2,2
Oliver Burke,West Bromwich Albion,2017,0,2,2
Ander Herrera,Manchester United,2017,0,2,2
Eric Dier,Tottenham Hotspur,2017,0,2,2
Kyle Naughton,Swansea City,2017,0,2,2
Florian Lejeune,Newcastle United,2017,0,2,2
Cuco Martina,Everton FC,2017,0,2,2
Aaron Lennon,Burnley FC,2017,0,2,2
Grzegorz Krychowiak,West Bromwich Albion,2017,0,2,2
DeAndre Yedlin,Newcastle United,2017,0,2,2
Kyle Walker-Peters,Tottenham Hotspur,2017,0,2,2
Joe Gomez,Liverpool FC,2017,0,2,2
Mathias Jørgensen,Huddersfield Town,2017,0,2,2
Lewis Cook,AFC Bournemouth,2017,0,2,2
Nacer Chadli,West Bromwich Albion,2017,1,0,1
Joe Lolley,Huddersfield Town,2017,1,0,1
Joel Matip,Liverpool FC,2017,1,0,1
Mike van der Hoorn,Swansea City,2017,1,0,1
Fernando Llorente,Tottenham Hotspur,2017,1,0,1
Ragnar Klavan,Liverpool FC,2017,1,0,1
Danny Ings,Liverpool FC,2017,1,0,1
