league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,southampton-fc,2018,Mario Lemina,M,25,3380000,65000
epl,southampton-fc,2018,Matt Targett,D,23,1820000,35000
epl,southampton-fc,2018,Maya Yoshida,D,30,2600000,50000
epl,southampton-fc,2018,Mohamed Elyounoussi,F,24,3120000,60000
epl,southampton-fc,2018,Nathan Redmond,F,24,3120000,60000
epl,southampton-fc,2018,Oriol Romeu,M,27,3380000,65000
epl,southampton-fc,2018,Pierre-Emile Højbjerg,M,23,2600000,50000
epl,southampton-fc,2018,Ryan Bertrand,D,29,3640000,70000
epl,southampton-fc,2018,Sam Gallagher,F,23,2080000,40000
epl,southampton-fc,2018,Shane Long,F,31,3120000,60000
epl,southampton-fc,2018,Steven Davis,M,33,3120000,60000
epl,southampton-fc,2018,Stuart Armstrong,M,26,2600000,50000
epl,southampton-fc,2018,Wesley Hoedt,D,24,3120000,60000
epl,tottenham-hotspur-fc,2018,Ben Davies,D,25,3120000,60000
epl,tottenham-hotspur-fc,2018,Christian Eriksen,M,26,3900000,75000
epl,tottenham-hotspur-fc,2018,Danny Rose,D,28,3120000,60000
epl,tottenham-hotspur-fc,2018,Davinson Sánchez,D,22,3380000,65000
epl,tottenham-hotspur-fc,2018,Dele Alli,M,22,5200000,100000
epl,tottenham-hotspur-fc,2018,Eric Dier,M,24,3120000,60000
epl,tottenham-hotspur-fc,2018,Érik Lamela,M,26,4160000,80000
epl,tottenham-hotspur-fc,2018,Fernando Llorente,F,33,3900000,75000
epl,tottenham-hotspur-fc,2018,Harry Kane,F,25,10400000,200000
epl,tottenham-hotspur-fc,2018,Harry Winks,M,22,2600000,50000
epl,tottenham-hotspur-fc,2018,Heung-min Son,F,26,7280000,140000
epl,tottenham-hotspur-fc,2018,Hugo Lloris,GK,31,5200000,100000
epl,tottenham-hotspur-fc,2018,Jan Vertonghen,D,31,5200000,100000
epl,tottenham-hotspur-fc,2018,Juan Foyth,D,20,1118000,21500
epl,tottenham-hotspur-fc,2018,Kieran Trippier,D,28,3380000,65000
epl,tottenham-hotspur-fc,2018,Kyle Walker-Peters,D,21,1040000,20000
epl,tottenham-hotspur-fc,2018,Lucas Moura,M,26,4160000,80000
epl,tottenham-hotspur-fc,2018,Michel Vorm,GK,35,2080000,40000
epl,tottenham-hotspur-fc,2018,Moussa Sissoko,M,29,4160000,80000
epl,tottenham-hotspur-fc,2018,Paulo Gazzaniga,GK,26,1040000,20000
epl,tottenham-hotspur-fc,2018,Serge Aurier,D,25,3640000,70000
epl,tottenham-hotspur-fc,2018,Victor Wanyama,M,27,3380000,65000
epl,tottenham-hotspur-fc,2018,Vincent Janssen,F,24,1768000,34000
epl,watford,2018,Abdoulaye Doucouré,M,25,3640000,70000
epl,watford,2018,Adam Masina,D,24,1456000,28000
epl,watford,2018,Andre Gray,F,27,3640000,70000
epl,watford,2018,Ben Foster,GK,35,1560000,30000
