Port Name,Date,Month,Vehicle Type,Number of People,Port ID
Brownsville,2019-07-01,July,Truck Containers Full,14110,3
Brownsville,2019-07-01,July,Trucks,26508,3
Brownsville,2019-06-01,June,Trucks,23449,3
Brownsville,2019-06-01,June,Truck Containers Full,13166,3
Brownsville,2019-06-01,June,Truck Containers Empty,10312,3
Brownsville,2019-06-01,June,Rail Containers Empty,6651,3
Brownsville,2019-06-01,June,Personal Vehicles,369607,3
Brownsville,2019-06-01,June,Personal Vehicle Passengers,783959,3
Brownsville,2019-06-01,June,Pedestrians,238032,3
Brownsville,2019-06-01,June,Bus Passengers,3756,3
Brownsville,2019-05-01,May,Bus Passengers,3448,3
Brownsville,2019-05-01,May,Pedestrians,261873,3
Brownsville,2019-05-01,May,Personal Vehicle Passengers,763204,3
Brownsville,2019-05-01,May,Personal Vehicles,367141,3
Brownsville,2019-05-01,May,Rail Containers Empty,7677,3
Brownsville,2019-05-01,May,Truck Containers Empty,12038,3
Brownsville,2019-05-01,May,Truck Containers Full,14247,3
Brownsville,2019-05-01,May,Trucks,26248,3
Brownsville,2019-04-01,April,Bus Passengers,4128,3
Brownsville,2019-04-01,April,Pedestrians,269464,3
Brownsville,2019-04-01,April,Personal Vehicle Passengers,635117,3
Brownsville,2019-04-01,April,Personal Vehicles,307136,3
Brownsville,2019-04-01,April,Rail Containers Empty,7504,3
Brownsville,2019-04-01,April,Truck Containers Empty,11935,3
Brownsville,2019-04-01,April,Truck Containers Full,13869,3
Brownsville,2019-04-01,April,Trucks,25775,3
Brownsville,2019-03-01,March,Bus Passengers,3900,3
Brownsville,2019-03-01,March,Rail Containers Empty,7071,3
Brownsville,2019-03-01,March,Truck Containers Full,12486,3
Brownsville,2019-03-01,March,Truck Containers Empty,11553,3
Brownsville,2019-03-01,March,Personal Vehicle Passengers,804857,3
Brownsville,2019-03-01,March,Pedestrians,256192,3
Brownsville,2019-03-01,March,Personal Vehicles,384475,3
Brownsville,2019-03-01,March,Trucks,24008,3
Brownsville,2019-02-01,February,Truck Containers Empty,10172,3
Brownsville,2019-02-01,February,Pedestrians,235337,3
Brownsville,2019-02-01,February,Bus Passengers,3039,3
Brownsville,2019-02-01,February,Trucks,21590,3
Brownsville,2019-02-01,February,Personal Vehicle Passengers,705241,3
Brownsville,2019-02-01,February,Rail Containers Empty,7452,3
Brownsville,2019-02-01,February,Personal Vehicles,344903,3
Brownsville,2019-02-01,February,Truck Containers Full,11444,3
Brownsville,2019-01-01,January,Trucks,22372,3
Brownsville,2019-01-01,January,Rail Containers Empty,7980,3
